20230324	11:57:20	1a68d3ce-db56-4145-a7bd-e72212bc084e	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	11:58:32	1a4c6c1a-35eb-41e8-8c06-476ac2ae23b4	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	11:58:32	bed24eb5-c044-4f26-ad7f-b30daf2a72c1	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	11:59:00	7326805d-091f-41c7-9776-ca0bd7bcaade	GET 	 undefined 	 /
20230324	11:59:00	bf9f66c0-931e-4f2c-b80a-545e5ce2bdea	GET 	 undefined 	 /css/style.css
20230324	11:59:04	5bbf344d-5e8d-473f-85ca-d53249a6614b	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	11:59:04	10994a42-f239-4125-80fc-bce8e07a8068	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	11:59:32	94bc0f7a-bdef-4dbd-a9d8-5fd9d457ae57	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	11:59:32	40e1b359-4f1e-4cf6-a774-da0d36af721c	GET 	 undefined 	 /favicon.ico
20230324	11:59:32	d9bd7557-56cb-45a1-88b7-ee193bff8bd3	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	11:59:34	2a38c4be-d7ec-4ef7-9334-8c7823776f91	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	11:59:40	98906e21-4204-4567-b3f3-34c66457c65c	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	11:59:40	6f1f998e-5861-4f56-8d19-29e47d34d261	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	12:00:04	99a40485-325f-4a39-85dd-593649c3342d	GET 	 undefined 	 /
20230324	12:00:05	78110fc7-df0c-42b4-9222-9f96b227c3d6	GET 	 undefined 	 /css/style.css
20230324	12:01:53	79887f8e-91e4-4abd-ac8a-3e8830a6cc70	GET 	 undefined 	 /insurance/alldata
20230324	12:05:38	71710f94-d0af-4ce8-9e77-366eca2f4a3f	GET 	 undefined 	 /insurance/alldata
20230324	12:47:55	32ab1b9f-df7e-4016-a7d6-f5fb200ac90f	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	12:47:56	e50b4d75-50c3-4183-bf6c-d512d31f4e13	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	12:48:00	95c82d3e-a882-4758-a06d-f1a03540c303	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	12:48:00	815724c9-71ac-4bd1-b2c7-1356e1482d1d	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	12:48:54	665fcdcd-0a9b-4044-abc0-60f85fae00b4	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	12:48:54	373a7a17-c85c-4b38-8ab8-c51a59dd4621	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	12:55:04	e21703ba-31e4-4dd0-aa14-bf5a65a74f5f	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	12:55:04	00e11aee-821e-43b8-bccf-75540a9ea62a	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	12:58:01	b30e0e64-8a00-4b46-8d33-d976d93d61f1	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	12:58:01	906dabc3-7a08-4459-bd75-924cb86f4788	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	13:02:33	0d2f46dc-475c-45f4-80c4-00d0ab87d835	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	13:02:33	9d4acb4f-68fc-4d81-abdf-10621ef28b0c	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	13:03:35	2d8920db-7a2a-4635-a3ec-b7057ac4951e	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
20230324	13:03:36	507e3cbe-24f1-4a91-a7c7-45dd479fa0a0	OPTIONS 	 http://localhost:3000 	 /insurance/alldata
